Open,High,Low,Close,Volume,Timestamp
47274.05,47277.16,47271.18,47271.18,0.034606,2022-01-03T11:39:00Z
47260.5,47280.22,47260.5,47280.22,0.062534,2022-01-03T11:40:00Z
47278.46,47278.65,47277.49,47278.65,0.015963,2022-01-03T11:41:00Z
47271.18,47273.9,47271.18,47273.9,0.035313,2022-01-03T11:42:00Z
47278.2,47278.2,47276.27,47276.27,0.002107,2022-01-03T11:43:00Z
47281.51,47288.18,47270.36,47288.18,0.138473,2022-01-03T11:44:00Z
47287.38,47287.38,47267.84,47283.46,0.141352,2022-01-03T11:45:00Z
47283.48,47327.62,47283.48,47327.62,0.062832,2022-01-03T11:46:00Z
47335.1,47335.1,47332.02,47332.02,0.007951,2022-01-03T11:47:00Z
47326.72,47326.72,47310.03,47310.03,0.146734,2022-01-03T11:48:00Z
47312.31,47312.31,47288.29,47298.15,0.475227,2022-01-03T11:49:00Z
47306.79,47306.79,47294.26,47294.26,0.100732,2022-01-03T11:50:00Z
47304.82,47312.31,47304.82,47312.31,0.034116,2022-01-03T11:51:00Z
47311.75,47311.75,47300,47303.62,0.047497,2022-01-03T11:52:00Z
47311.75,47327.81,47311.75,47327.81,0.006681,2022-01-03T11:53:00Z
47323.45,47323.45,47308.53,47308.53,0.200864,2022-01-03T11:54:00Z
47319.3,47324.99,47319.3,47321.96,0.140673,2022-01-03T11:55:00Z
47324.8,47364.33,47324.8,47364.33,0.289935,2022-01-03T11:56:00Z
47390.04,47427.24,47388.66,47420.09,0.592501,2022-01-03T11:57:00Z
47411.12,47411.12,47401.86,47408.61,0.206383,2022-01-03T11:58:00Z
47402.33,47402.33,47378.42,47381,0.294552,2022-01-03T11:59:00Z
47401.13,47430.42,47363.58,47376.21,0.129014,2022-01-03T12:00:00Z
47376.2,47382.6,47365.16,47382.6,0.091761,2022-01-03T12:01:00Z
47380.04,47391.68,47369.36,47369.36,0.052826,2022-01-03T12:02:00Z
47359.31,47359.62,47335.97,47335.97,0.015981,2022-01-03T12:03:00Z
47335.79,47335.79,47304.15,47309.56,0.046639,2022-01-03T12:04:00Z
47303.07,47303.07,47269.09,47269.09,0.052978,2022-01-03T12:05:00Z
47275.59,47286.6,47262.6,47272.75,0.363048,2022-01-03T12:06:00Z
47303.57,47352.28,47303.57,47346.18,0.509713,2022-01-03T12:07:00Z
47338.16,47410.22,47336.32,47403.46,3.96145,2022-01-03T12:08:00Z
47403.47,47442.2,47389.29,47437.1,0.331971,2022-01-03T12:09:00Z
47434.72,47478.29,47416.75,47416.75,0.850928,2022-01-03T12:10:00Z
47421.19,47460.42,47406.16,47457.59,0.055454,2022-01-03T12:11:00Z
47451.85,47547.36,47451.85,47517.44,3.724066,2022-01-03T12:12:00Z
47498.39,47498.39,47472.63,47497.88,0.182002,2022-01-03T12:13:00Z
47525.57,47525.57,47485.91,47496.85,0.301763,2022-01-03T12:14:00Z
47485.75,47491.78,47448.8,47481.1,0.096309,2022-01-03T12:15:00Z
47493.07,47517.72,47464.21,47515.31,0.422566,2022-01-03T12:16:00Z
47522.11,47541.82,47520.44,47525.51,0.012143,2022-01-03T12:17:00Z
47550,47568.95,47516.91,47536.08,2.309387,2022-01-03T12:18:00Z
47536.08,47536.08,47488.3,47490.94,0.646906,2022-01-03T12:19:00Z
47498.78,47498.78,47422.86,47422.86,0.31841,2022-01-03T12:20:00Z
47406.2,47411.92,47356.13,47356.13,1.40128,2022-01-03T12:21:00Z
47343.66,47376.7,47338.59,47368.9,0.05095,2022-01-03T12:22:00Z
47380.16,47413.88,47369.44,47413.88,0.111312,2022-01-03T12:23:00Z
47406.51,47406.99,47392,47404.42,0.010451,2022-01-03T12:24:00Z
47404.42,47404.42,47364.59,47374.9,0.226791,2022-01-03T12:25:00Z
47374.9,47386.32,47374.9,47375.76,0.036135,2022-01-03T12:26:00Z
47390.88,47394.61,47388.95,47394.61,0.182181,2022-01-03T12:27:00Z
47399.53,47426.14,47399.53,47410.43,0.04421,2022-01-03T12:28:00Z
47415.82,47415.82,47390.12,47390.12,0.024023,2022-01-03T12:29:00Z
47390.11,47390.11,47376.05,47376.05,0.005502,2022-01-03T12:30:00Z
47374.27,47374.27,47346.28,47346.28,0.007904,2022-01-03T12:31:00Z
47344.47,47368.46,47344.47,47368.46,0.046137,2022-01-03T12:32:00Z
47346.73,47350.35,47307.34,47316.02,0.519351,2022-01-03T12:33:00Z
47314.17,47315.32,47314.17,47315.32,0.017519,2022-01-03T12:34:00Z
47281.83,47293.84,47277.59,47277.59,0.192704,2022-01-03T12:35:00Z
47279.71,47287.86,47273.55,47287.86,0.117767,2022-01-03T12:36:00Z
47295.24,47296.08,47267.76,47267.76,0.035999,2022-01-03T12:37:00Z
47266.16,47266.16,47237.11,47248.83,0.531755,2022-01-03T12:38:00Z
47247.34,47275.2,47247.34,47270.9,0.022849,2022-01-03T12:39:00Z
47261.68,47261.68,47261.68,47261.68,0.005386,2022-01-03T12:40:00Z
47261.68,47270,47256.27,47264.81,0.011973,2022-01-03T12:41:00Z
47266.77,47286.27,47266.77,47286.27,0.019435,2022-01-03T12:42:00Z
47285.29,47290.81,47285.29,47290.81,0.013488,2022-01-03T12:43:00Z
47292.37,47292.37,47276.82,47286.14,0.058333,2022-01-03T12:44:00Z
47296.46,47305.13,47282.83,47286.61,0.092541,2022-01-03T12:45:00Z
47295.55,47309.72,47295.55,47301.51,0.159514,2022-01-03T12:46:00Z
47279.38,47279.38,47257.41,47257.41,0.049422,2022-01-03T12:47:00Z
47247.83,47254.84,47247.83,47254.84,0.012207,2022-01-03T12:48:00Z
47242.87,47242.87,47229.02,47230.85,0.150012,2022-01-03T12:49:00Z
47235.45,47250.87,47210.36,47249.08,1.066631,2022-01-03T12:50:00Z
47255.3,47272.18,47255,47265.47,0.156221,2022-01-03T12:51:00Z
47261.65,47261.65,47209.91,47231.86,1.893163,2022-01-03T12:52:00Z
47231.78,47231.78,47219.24,47220.34,0.332508,2022-01-03T12:53:00Z
47219.77,47225.22,47203.85,47208.6,0.057024,2022-01-03T12:54:00Z
47208.6,47224.47,47208.6,47222.29,0.034424,2022-01-03T12:55:00Z
47213.83,47222.47,47203.85,47203.85,0.169886,2022-01-03T12:56:00Z
47203.8,47210.98,47188.95,47210.98,0.039376,2022-01-03T12:57:00Z
47207.4,47207.4,47200.91,47204.3,0.094992,2022-01-03T12:58:00Z
47201.48,47202.5,47184.37,47199.22,0.293905,2022-01-03T12:59:00Z
47205.15,47246.88,47205.15,47246.88,0.391248,2022-01-03T13:00:00Z
47251.34,47303.88,47243.55,47284.91,5.47486,2022-01-03T13:01:00Z
47278.71,47278.71,47237.76,47266.84,0.116077,2022-01-03T13:02:00Z
47266.83,47266.84,47252.29,47254.95,0.226936,2022-01-03T13:03:00Z
47260.3,47278.71,47260.3,47276.37,0.055682,2022-01-03T13:04:00Z
47270.77,47270.77,47263.65,47268.25,0.149261,2022-01-03T13:05:00Z
47258.66,47268.2,47258.66,47268.2,0.001038,2022-01-03T13:06:00Z
47253.14,47290.17,47235.52,47281.37,5.557362,2022-01-03T13:07:00Z
47283.03,47283.03,47263.05,47263.05,0.565493,2022-01-03T13:08:00Z
47259.59,47261.07,47257.27,47257.27,0.07354,2022-01-03T13:09:00Z
47261.07,47266.3,47261.07,47266.3,0.016254,2022-01-03T13:10:00Z
47273.9,47273.9,47273.9,47273.9,0.000214,2022-01-03T13:11:00Z
47282.48,47283,47272.36,47272.36,0.166691,2022-01-03T13:12:00Z
47278.72,47279.17,47258.7,47264.05,0.037645,2022-01-03T13:13:00Z
47276.32,47276.32,47257.27,47257.27,0.00393,2022-01-03T13:14:00Z
47275.21,47283.93,47275.21,47283.93,0.001062,2022-01-03T13:15:00Z
47295,47295,47295,47295,0.01,2022-01-03T13:16:00Z
47310.47,47361.16,47310.47,47356.82,0.310541,2022-01-03T13:17:00Z
47356.82,47364.19,47339.34,47339.34,0.034557,2022-01-03T13:18:00Z
47329.81,47333.93,47308.29,47308.29,0.115865,2022-01-03T13:19:00Z
47309.9,47309.9,47288.9,47288.9,0.279929,2022-01-03T13:20:00Z
47288.79,47288.79,47288.79,47288.79,0.000909,2022-01-03T13:21:00Z
47298.74,47299.79,47297.16,47299.79,0.024155,2022-01-03T13:22:00Z
47299.79,47331.92,47299.79,47331.92,0.061415,2022-01-03T13:23:00Z
47329.48,47329.48,47312.11,47312.11,0.031305,2022-01-03T13:24:00Z
